############################
SERVER SIDE STARTED
############################


Starting resend nak thread
7921.9865551# Server sent data 000000000
7922.03708792# Server sent data 000000001
7922.08763909# Server sent data 000000002
7922.13826108# Server sent data 000000003
7922.18892789# Server sent data 000000004
7922.23962593# Server sent data 000000005
7922.29021692# Server sent data 000000006
7922.34099603# Server sent data 000000007
7922.39174199# Server sent data 000000008
7922.39388204# Server resent (NAK) 000000007
7922.39377093# Server received NAK 7
7922.44481206# Server sent data 000000009
7922.49541998# Server sent data 000000010
7922.545784# Server sent data 000000011
7922.59611106# Server sent data 000000012
7922.64664292# Server sent data 000000013
7922.69701195# Server sent data 000000014
7922.74843693# Server sent data 000000015
7922.79892397# Server sent data 000000016
7922.84938598# Server sent data 000000017
7922.90048695# Server sent data 000000018
7922.95108199# Server sent data 000000019
7923.00139308# Server sent data 000000020
7923.05180001# Server sent data 000000021
7923.10236812# Server sent data 000000022
7923.15296102# Server sent data 000000023
7923.20359612# Server sent data 000000024
7923.25452209# Server sent data 000000025
7923.30493593# Server sent data 000000026
7923.35576606# Server sent data 000000027
7923.40626907# Server sent data 000000028
7923.45718288# Server sent data 000000029
7923.50782108# Server sent data 000000030
7923.55819297# Server sent data 000000031
7923.60877895# Server sent data 000000032
7923.65907311# Server sent data 000000033
7923.71038604# Server sent data 000000034
7923.76077008# Server sent data 000000035
7923.81138396# Server sent data 000000036
7923.86176801# Server sent data 000000037
7923.91219211# Server sent data 000000038
7923.96255493# Server sent data 000000039
7924.01383591# Server sent data 000000040
7924.06459594# Server sent data 000000041
7924.11516094# Server sent data 000000042
7924.16552997# Server sent data 000000043
7924.21702909# Server sent data 000000044
7924.26844811# Server sent data 000000045
7924.31900597# Server sent data 000000046
7924.36964107# Server sent data 000000047
7924.41997004# Server sent data 000000048
7924.47062898# Server sent data 000000049
7924.52103806# Server sent data 000000050
7924.57179308# Server sent data 000000051
7924.62228203# Server sent data 000000052
7924.6728549# Server sent data 000000053
7924.72346401# Server sent data 000000054
7924.77420306# Server sent data 000000055
7924.82465005# Server sent data 000000056
7924.87518597# Server sent data 000000057
7924.92563295# Server sent data 000000058
7924.97623897# Server sent data 000000059
7925.02705908# Server sent data 000000060
7925.07755995# Server sent data 000000061
7925.12795496# Server sent data 000000062
7925.17896295# Server sent data 000000063
7925.22935009# Server sent data 000000064
7925.28042889# Server sent data 000000065
7925.33089805# Server sent data 000000066
7925.38129091# Server sent data 000000067
7925.43273306# Server sent data 000000068
7925.43406296# Server received NAK 67
7925.43417406# Server resent (NAK) 000000067
7925.4839139# Server sent data 000000069
7925.53440189# Server sent data 000000070
7925.58485389# Server sent data 000000071
7925.63557291# Server sent data 000000072
7925.68588495# Server sent data 000000073
7925.73647594# Server sent data 000000074
7925.78740001# Server sent data 000000075
7925.837744# Server sent data 000000076
7925.88813496# Server sent data 000000077
7925.938972# Server sent data 000000078
7925.98931909# Server sent data 000000079
7925.99131298# Server received NAK 78
7925.99142909# Server resent (NAK) 000000078
7926.03953791# Server sent data 000000080
7926.09062195# Server sent data 000000081
7926.14107108# Server sent data 000000082
