############################
SERVER SIDE STARTED
############################


Starting resend nak thread
8401.73663998# Server sent data 000000000
8401.78720093# Server sent data 000000001
8401.8377471# Server sent data 000000002
8401.88872194# Server sent data 000000003
8401.93929505# Server sent data 000000004
8401.98969507# Server sent data 000000005
8402.04011989# Server sent data 000000006
8402.09072304# Server sent data 000000007
8402.14140701# Server sent data 000000008
8402.19175792# Server sent data 000000009
8402.24216104# Server sent data 000000010
8402.2438941# Server resent (NAK) 000000009
8402.24377108# Server received NAK 9
8402.29312205# Server sent data 000000011
8402.34348798# Server sent data 000000012
8402.39409494# Server sent data 000000013
8402.44490504# Server sent data 000000014
8402.49527407# Server sent data 000000015
8402.5459969# Server sent data 000000016
8402.59654593# Server sent data 000000017
8402.648# Server sent data 000000018
8402.69919395# Server sent data 000000019
8402.74962711# Server sent data 000000020
8402.80009198# Server sent data 000000021
8402.85048008# Server sent data 000000022
8402.9009409# Server sent data 000000023
8402.95174289# Server sent data 000000024
8403.00212908# Server sent data 000000025
8403.05309796# Server sent data 000000026
8403.10376501# Server sent data 000000027
8403.15413189# Server sent data 000000028
8403.2045989# Server sent data 000000029
8403.25514197# Server sent data 000000030
8403.30564594# Server sent data 000000031
8403.35609293# Server sent data 000000032
8403.40649104# Server sent data 000000033
8403.45688796# Server sent data 000000034
8403.50727606# Server sent data 000000035
8403.558043# Server sent data 000000036
8403.60848904# Server sent data 000000037
8403.65884209# Server sent data 000000038
8403.7096169# Server sent data 000000039
8403.76002192# Server sent data 000000040
8403.81058311# Server sent data 000000041
8403.86086798# Server sent data 000000042
8403.91146803# Server sent data 000000043
8403.9616909# Server sent data 000000044
8404.01303506# Server sent data 000000045
8404.06423306# Server sent data 000000046
8404.11457109# Server sent data 000000047
8404.16562295# Server sent data 000000048
8404.21598697# Server sent data 000000049
8404.26659203# Server sent data 000000050
8404.31723309# Server sent data 000000051
8404.36805391# Server sent data 000000052
8404.41846108# Server sent data 000000053
8404.46877098# Server sent data 000000054
8404.51935005# Server sent data 000000055
8404.569736# Server sent data 000000056
8404.61997795# Server sent data 000000057
8404.67040491# Server sent data 000000058
8404.72076201# Server sent data 000000059
8404.77203107# Server sent data 000000060
8404.773808# Server received NAK 59
8404.7739501# Server resent (NAK) 000000059
8404.82253408# Server sent data 000000061
8404.87322211# Server sent data 000000062
8404.92403698# Server sent data 000000063
8404.97476602# Server sent data 000000064
8405.02532101# Server sent data 000000065
8405.07603908# Server sent data 000000066
8405.12677693# Server sent data 000000067
8405.1771071# Server sent data 000000068
8405.22757792# Server sent data 000000069
8405.27815008# Server sent data 000000070
8405.329422# Server sent data 000000071
8405.38018799# Server sent data 000000072
8405.43066597# Server sent data 000000073
8405.48133612# Server sent data 000000074
8405.53175402# Server sent data 000000075
8405.58229589# Server sent data 000000076
8405.63314795# Server sent data 000000077
8405.68452597# Server sent data 000000078
8405.73496008# Server sent data 000000079
8405.78538489# Server sent data 000000080
8405.8362689# Server sent data 000000081
8405.88671207# Server sent data 000000082
8405.93785691# Server sent data 000000083
8405.98914409# Server sent data 000000084
8406.04003501# Server sent data 000000085
8406.0906539# Server sent data 000000086
8406.14103603# Server sent data 000000087
8406.19146395# Server sent data 000000088
8406.24183011# Server sent data 000000089
8406.29222608# Server sent data 000000090
8406.34281611# Server sent data 000000091
8406.39320588# Server sent data 000000092
8406.44378805# Server sent data 000000093
8406.49414992# Server sent data 000000094
8406.54474807# Server sent data 000000095
8406.59513092# Server sent data 000000096
8406.64561701# Server sent data 000000097
8406.69650197# Server sent data 000000098
8406.74718904# Server sent data 000000099
8406.7976191# Server sent data 000000100
8406.84865904# Server sent data 000000101
8406.89900208# Server sent data 000000102
8406.94969606# Server sent data 000000103
8407.00102401# Server sent data 000000104
8407.05139399# Server sent data 000000105
8407.10201001# Server sent data 000000106
8407.15252209# Server sent data 000000107
8407.20282197# Server sent data 000000108
8407.25312495# Server sent data 000000109
8407.30382895# Server sent data 000000110
8407.35428905# Server sent data 000000111
8407.4046979# Server sent data 000000112
8407.45522308# Server sent data 000000113
8407.50560498# Server sent data 000000114
8407.55642509# Server sent data 000000115
8407.60702395# Server sent data 000000116
8407.65746403# Server sent data 000000117
8407.708781# Server sent data 000000118
8407.75912499# Server sent data 000000119
8407.8094821# Server sent data 000000120
8407.85985708# Server sent data 000000121
8407.91020489# Server sent data 000000122
8407.9608109# Server sent data 000000123
8408.011168# Server sent data 000000124
8408.06168294# Server sent data 000000125
8408.1121769# Server sent data 000000126
8408.16349006# Server sent data 000000127
8408.21482301# Server sent data 000000128
8408.26520896# Server sent data 000000129
8408.31560397# Server sent data 000000130
8408.36600494# Server sent data 000000131
8408.41642189# Server sent data 000000132
8408.46682692# Server sent data 000000133
8408.51728106# Server sent data 000000134
8408.56841302# Server sent data 000000135
8408.61933398# Server sent data 000000136
8408.66949892# Server sent data 000000137
8408.72008491# Server sent data 000000138
8408.77050591# Server sent data 000000139
8408.82097006# Server sent data 000000140
8408.87140107# Server sent data 000000141
8408.921803# Server sent data 000000142
8408.97228193# Server sent data 000000143
8409.02288699# Server sent data 000000144
8409.07351398# Server sent data 000000145
8409.12462807# Server sent data 000000146
8409.17498589# Server sent data 000000147
8409.22545195# Server sent data 000000148
8409.27582693# Server sent data 000000149
8409.32623792# Server sent data 000000150
8409.37716293# Server sent data 000000151
8409.42790794# Server sent data 000000152
8409.478441# Server sent data 000000153
8409.52883601# Server sent data 000000154
8409.57961607# Server sent data 000000155
8409.62998891# Server sent data 000000156
8409.68057108# Server sent data 000000157
8409.73180699# Server sent data 000000158
8409.7823329# Server sent data 000000159
8409.83320689# Server sent data 000000160
8409.88386893# Server sent data 000000161
8409.93414688# Server sent data 000000162
8409.984797# Server sent data 000000163
8410.0352819# Server sent data 000000164
8410.08594394# Server sent data 000000165
8410.13649011# Server sent data 000000166
8410.187011# Server sent data 000000167
8410.23810506# Server sent data 000000168
8410.28910899# Server sent data 000000169
8410.3402729# Server sent data 000000170
8410.39099789# Server sent data 000000171
8410.39226794# Server received NAK 170
8410.39241099# Server resent (NAK) 000000170
8410.44144702# Server sent data 000000172
8410.49181008# Server sent data 000000173
8410.54286194# Server sent data 000000174
8410.59322309# Server sent data 000000175
8410.64355898# Server sent data 000000176
8410.69392109# Server sent data 000000177
8410.74428606# Server sent data 000000178
8410.79488802# Server sent data 000000179
8410.84528303# Server sent data 000000180
8410.89584494# Server sent data 000000181
8410.9464519# Server sent data 000000182
8410.99699593# Server sent data 000000183
8411.04746509# Server sent data 000000184
8411.09793711# Server sent data 000000185
8411.148597# Server sent data 000000186
8411.19914103# Server sent data 000000187
8411.24998999# Server sent data 000000188
8411.30030894# Server sent data 000000189
8411.35103393# Server sent data 000000190
8411.40150809# Server sent data 000000191
8411.45274091# Server sent data 000000192
8411.50338697# Server sent data 000000193
8411.55462408# Server sent data 000000194
8411.60506296# Server sent data 000000195
8411.65544796# Server sent data 000000196
8411.70597792# Server sent data 000000197
8411.75641394# Server sent data 000000198
8411.8071301# Server sent data 000000199
8411.85774803# Server sent data 000000200
8411.90847492# Server sent data 000000201
8411.95880103# Server sent data 000000202
8412.01020503# Server sent data 000000203
8412.06062603# Server sent data 000000204
8412.11112595# Server sent data 000000205
8412.161659# Server sent data 000000206
8412.2126801# Server sent data 000000207
8412.26359701# Server sent data 000000208
8412.31412411# Server sent data 000000209
8412.36470389# Server sent data 000000210
8412.41534591# Server sent data 000000211
8412.46568489# Server sent data 000000212
8412.51608801# Server sent data 000000213
8412.5665381# Server sent data 000000214
8412.61704612# Server sent data 000000215
8412.66741204# Server sent data 000000216
8412.71788597# Server sent data 000000217
8412.76869607# Server sent data 000000218
8412.81907701# Server sent data 000000219
8412.86956906# Server sent data 000000220
8412.92030001# Server sent data 000000221
8412.97094607# Server sent data 000000222
8413.02137589# Server sent data 000000223
8413.07179809# Server sent data 000000224
8413.12220502# Server sent data 000000225
8413.17272592# Server sent data 000000226
8413.22313809# Server sent data 000000227
8413.27450204# Server sent data 000000228
8413.324965# Server sent data 000000229
8413.37554002# Server sent data 000000230
8413.42599797# Server sent data 000000231
8413.47664905# Server sent data 000000232
8413.52769804# Server sent data 000000233
8413.57844591# Server sent data 000000234
8413.62915301# Server sent data 000000235
8413.67973804# Server sent data 000000236
8413.730129# Server sent data 000000237
8413.781111# Server sent data 000000238
8413.83164501# Server sent data 000000239
8413.8820169# Server sent data 000000240
8413.93265605# Server sent data 000000241
8413.9832201# Server sent data 000000242
8414.0335741# Server sent data 000000243
8414.0841589# Server sent data 000000244
8414.135005# Server sent data 000000245
8414.18532705# Server sent data 000000246
8414.23578405# Server sent data 000000247
8414.28635502# Server sent data 000000248
8414.33746505# Server sent data 000000249
8414.38790989# Server sent data 000000250
8414.38962197# Server received NAK 249
8414.38976192# Server resent (NAK) 000000249
8414.43864799# Server sent data 000000251
8414.49009299# Server sent data 000000252
8414.54136801# Server sent data 000000253
8414.59180593# Server sent data 000000254
8414.64319301# Server sent data 000000255
8414.69371104# Server sent data 000000256
8414.74436998# Server sent data 000000257
8414.79483795# Server sent data 000000258
8414.84573507# Server sent data 000000259
8414.89665198# Server sent data 000000260
8414.94701099# Server sent data 000000261
8414.99766493# Server sent data 000000262
8415.04806089# Server sent data 000000263
8415.09926605# Server sent data 000000264
8415.15066409# Server sent data 000000265
8415.20116711# Server sent data 000000266
8415.25160503# Server sent data 000000267
8415.3019259# Server sent data 000000268
8415.35244703# Server sent data 000000269
8415.40295601# Server sent data 000000270
8415.45374298# Server sent data 000000271
8415.50418591# Server sent data 000000272
8415.554919# Server sent data 000000273
8415.60538101# Server sent data 000000274
8415.65585208# Server sent data 000000275
8415.706213# Server sent data 000000276
8415.75654888# Server sent data 000000277
8415.80718398# Server sent data 000000278
8415.85766101# Server sent data 000000279
8415.90805197# Server sent data 000000280
8415.95875907# Server sent data 000000281
8416.00921893# Server sent data 000000282
8416.05977702# Server sent data 000000283
8416.11028194# Server sent data 000000284
8416.16077805# Server sent data 000000285
8416.21116996# Server sent data 000000286
8416.26146793# Server sent data 000000287
8416.31169796# Server sent data 000000288
8416.3621099# Server sent data 000000289
8416.412431# Server sent data 000000290
8416.46291804# Server sent data 000000291
8416.51371908# Server sent data 000000292
8416.56405997# Server sent data 000000293
8416.61490297# Server sent data 000000294
8416.665905# Server sent data 000000295
8416.71633697# Server sent data 000000296
8416.7673471# Server sent data 000000297
8416.81815791# Server sent data 000000298
8416.86881995# Server sent data 000000299
8416.9202261# Server sent data 000000300
8416.97123289# Server sent data 000000301
8417.02182102# Server sent data 000000302
8417.07233906# Server sent data 000000303
8417.12331104# Server sent data 000000304
8417.17410707# Server sent data 000000305
8417.22526312# Server sent data 000000306
8417.27563906# Server sent data 000000307
8417.32629204# Server sent data 000000308
8417.37668705# Server sent data 000000309
8417.42757607# Server sent data 000000310
8417.47805309# Server sent data 000000311
8417.52867603# Server sent data 000000312
8417.57926297# Server sent data 000000313
8417.63020897# Server sent data 000000314
8417.68053699# Server sent data 000000315
8417.73102403# Server sent data 000000316
8417.78145003# Server sent data 000000317
8417.83190608# Server sent data 000000318
8417.88231611# Server sent data 000000319
8417.93289995# Server sent data 000000320
8417.98321199# Server sent data 000000321
8418.03372598# Server sent data 000000322
8418.08426905# Server sent data 000000323
8418.1350491# Server sent data 000000324
8418.18536901# Server sent data 000000325
8418.23579693# Server sent data 000000326
8418.28660393# Server sent data 000000327
8418.33700395# Server sent data 000000328
8418.38733101# Server sent data 000000329
8418.43842912# Server sent data 000000330
8418.48921895# Server sent data 000000331
8418.53974009# Server sent data 000000332
8418.59036708# Server sent data 000000333
8418.64099503# Server sent data 000000334
8418.69148803# Server sent data 000000335
8418.74193907# Server sent data 000000336
8418.79231095# Server sent data 000000337
8418.84318995# Server sent data 000000338
8418.89344692# Server sent data 000000339
8418.9447751# Server sent data 000000340
8418.99552202# Server sent data 000000341
8419.04643393# Server sent data 000000342
8419.09696889# Server sent data 000000343
8419.14789295# Server sent data 000000344
8419.19891# Server sent data 000000345
8419.2494359# Server sent data 000000346
8419.30048895# Server sent data 000000347
8419.35144711# Server sent data 000000348
8419.40205503# Server sent data 000000349
8419.45261312# Server sent data 000000350
8419.50295806# Server sent data 000000351
8419.553267# Server sent data 000000352
8419.60388708# Server sent data 000000353
8419.654212# Server sent data 000000354
8419.70461893# Server sent data 000000355
8419.7550981# Server sent data 000000356
8419.80581307# Server sent data 000000357
8419.85640502# Server sent data 000000358
8419.90725589# Server sent data 000000359
8419.95830607# Server sent data 000000360
8420.00971198# Server sent data 000000361
8420.06031203# Server sent data 000000362
8420.11082101# Server sent data 000000363
8420.161273# Server sent data 000000364
8420.21193099# Server sent data 000000365
8420.26234102# Server sent data 000000366
8420.31288695# Server sent data 000000367
8420.36328006# Server sent data 000000368
8420.41440201# Server sent data 000000369
8420.46508002# Server sent data 000000370
8420.5161469# Server sent data 000000371
8420.56687403# Server sent data 000000372
8420.61801696# Server sent data 000000373
8420.66843605# Server sent data 000000374
8420.72065306# Server sent data 000000375
8420.77112198# Server sent data 000000376
8420.82173109# Server sent data 000000377
8420.87301707# Server sent data 000000378
8420.92381597# Server sent data 000000379
8420.97509408# Server sent data 000000380
8421.02610493# Server sent data 000000381
8421.07643199# Server sent data 000000382
8421.127599# Server sent data 000000383
8421.17839789# Server sent data 000000384
8421.22944403# Server sent data 000000385
8421.27993608# Server sent data 000000386
8421.33033395# Server sent data 000000387
8421.38084698# Server sent data 000000388
8421.43150306# Server sent data 000000389
8421.48242688# Server sent data 000000390
8421.53278089# Server sent data 000000391
8421.58395505# Server sent data 000000392
8421.63434005# Server sent data 000000393
8421.68472409# Server sent data 000000394
8421.7351141# Server sent data 000000395
8421.7855041# Server sent data 000000396
8421.83631301# Server sent data 000000397
8421.88671303# Server sent data 000000398
8421.93802309# Server sent data 000000399
8421.98863506# Server sent data 000000400
8422.039855# Server sent data 000000401
8422.09073806# Server sent data 000000402
8422.141114# Server sent data 000000403
8422.19167805# Server sent data 000000404
8422.24298906# Server sent data 000000405
8422.29351091# Server sent data 000000406
8422.34430909# Server sent data 000000407
8422.39473295# Server sent data 000000408
8422.44564509# Server sent data 000000409
8422.49614096# Server sent data 000000410
8422.54667306# Server sent data 000000411
8422.59717393# Server sent data 000000412
8422.64782095# Server sent data 000000413
8422.69823289# Server sent data 000000414
8422.74856305# Server sent data 000000415
8422.79892492# Server sent data 000000416
8422.84986997# Server sent data 000000417
8422.90047693# Server sent data 000000418
8422.95106912# Server sent data 000000419
8423.00153708# Server sent data 000000420
8423.05216694# Server sent data 000000421
8423.10346508# Server sent data 000000422
8423.15478992# Server sent data 000000423
8423.20510101# Server sent data 000000424
8423.25572109# Server sent data 000000425
8423.3063271# Server sent data 000000426
8423.35679293# Server sent data 000000427
8423.40747595# Server sent data 000000428
8423.45840907# Server sent data 000000429
8423.50885797# Server sent data 000000430
8423.55923796# Server sent data 000000431
8423.61001492# Server sent data 000000432
8423.66136289# Server sent data 000000433
8423.71177411# Server sent data 000000434
8423.76230597# Server sent data 000000435
8423.81352091# Server sent data 000000436
8423.86428905# Server sent data 000000437
8423.91557407# Server sent data 000000438
8423.96604705# Server sent data 000000439
8424.01644993# Server sent data 000000440
8424.06679606# Server sent data 000000441
8424.11765909# Server sent data 000000442
8424.16841292# Server sent data 000000443
8424.2188971# Server sent data 000000444
8424.26949692# Server sent data 000000445
8424.32113099# Server sent data 000000446
8424.37150908# Server sent data 000000447
8424.42188311# Server sent data 000000448
8424.47246909# Server sent data 000000449
8424.52278805# Server sent data 000000450
8424.573241# Server sent data 000000451
8424.62353802# Server sent data 000000452
8424.67404699# Server sent data 000000453
8424.72447896# Server sent data 000000454
8424.77484608# Server sent data 000000455
