############################
SERVER SIDE STARTED
############################


Starting resend nak thread
7688.3295269# Server sent data 000000000
7688.380409# Server sent data 000000001
7688.43088603# Server sent data 000000002
7688.4817791# Server sent data 000000003
7688.53297901# Server sent data 000000004
7688.58429503# Server sent data 000000005
7688.63542008# Server sent data 000000006
7688.68629098# Server sent data 000000007
7688.73772907# Server sent data 000000008
7688.78829908# Server sent data 000000009
7688.83938408# Server sent data 000000010
7688.89078689# Server sent data 000000011
7688.94109511# Server sent data 000000012
7688.99147511# Server sent data 000000013
7689.04257107# Server sent data 000000014
7689.09394407# Server sent data 000000015
7689.14534903# Server sent data 000000016
7689.19599104# Server sent data 000000017
7689.2471571# Server sent data 000000018
7689.29858804# Server sent data 000000019
7689.34917593# Server sent data 000000020
7689.39973593# Server sent data 000000021
7689.45017004# Server sent data 000000022
7689.50093603# Server sent data 000000023
7689.5513649# Server sent data 000000024
7689.60235405# Server sent data 000000025
7689.65346503# Server sent data 000000026
7689.70426011# Server sent data 000000027
7689.75577998# Server sent data 000000028
7689.80714989# Server sent data 000000029
7689.85856509# Server sent data 000000030
7689.90916991# Server sent data 000000031
7689.96051788# Server sent data 000000032
7690.010813# Server sent data 000000033
7690.06213093# Server sent data 000000034
7690.11276507# Server sent data 000000035
7690.16331196# Server sent data 000000036
7690.21368408# Server sent data 000000037
7690.26525497# Server sent data 000000038
7690.315938# Server sent data 000000039
7690.36665893# Server sent data 000000040
7690.41715193# Server sent data 000000041
7690.46751809# Server sent data 000000042
7690.51800299# Server sent data 000000043
7690.56919098# Server sent data 000000044
7690.61978698# Server sent data 000000045
7690.6708951# Server sent data 000000046
7690.72169399# Server sent data 000000047
7690.77319002# Server sent data 000000048
7690.82476902# Server sent data 000000049
7690.87625003# Server sent data 000000050
7690.92691112# Server sent data 000000051
7690.97784591# Server sent data 000000052
7691.02871609# Server sent data 000000053
7691.07906795# Server sent data 000000054
7691.13052297# Server sent data 000000055
7691.13217402# Server received NAK 53
7691.13228106# Server resent (NAK) 000000053
7691.18194604# Server sent data 000000056
7691.18261194# Server received NAK 54
7691.18268991# Server resent (NAK) 000000054
7691.23253012# Server sent data 000000057
7691.23311901# Server received NAK 54
7691.23316407# Server resent (NAK) 000000054
7691.28345799# Server sent data 000000058
7691.28382802# Server received NAK 54
7691.28385997# Server resent (NAK) 000000054
7691.33410192# Server sent data 000000059
7691.38544393# Server sent data 000000060
7691.4360919# Server sent data 000000061
7691.48682499# Server sent data 000000062
7691.53818703# Server sent data 000000063
7691.58872199# Server sent data 000000064
7691.63928604# Server sent data 000000065
7691.6899159# Server sent data 000000066
7691.74078488# Server sent data 000000067
7691.7912221# Server sent data 000000068
7691.84179592# Server sent data 000000069
7691.89330506# Server sent data 000000070
7691.94506788# Server sent data 000000071
7691.99629498# Server sent data 000000072
7692.04715991# Server sent data 000000073
7692.0975759# Server sent data 000000074
7692.1487# Server sent data 000000075
7692.19916511# Server sent data 000000076
7692.24995708# Server sent data 000000077
7692.30137491# Server sent data 000000078
7692.35219789# Server sent data 000000079
7692.40319204# Server sent data 000000080
7692.45356798# Server sent data 000000081
7692.50478101# Server sent data 000000082
7692.55573702# Server sent data 000000083
7692.60630798# Server sent data 000000084
7692.65711188# Server sent data 000000085
7692.70747709# Server sent data 000000086
7692.75864792# Server sent data 000000087
7692.80967689# Server sent data 000000088
7692.8605051# Server sent data 000000089
7692.91101408# Server sent data 000000090
7692.96242309# Server sent data 000000091
7693.01319289# Server sent data 000000092
7693.06409693# Server sent data 000000093
7693.11464596# Server sent data 000000094
7693.1648109# Server sent data 000000095
7693.21615195# Server sent data 000000096
7693.26715899# Server sent data 000000097
7693.3180511# Server sent data 000000098
7693.3686831# Server sent data 000000099
7693.41901398# Server sent data 000000100
7693.42009807# Server received NAK 99
7693.42020702# Server resent (NAK) 000000099
7693.47076893# Server sent data 000000101
7693.52170992# Server sent data 000000102
7693.57231498# Server sent data 000000103
7693.62273192# Server sent data 000000104
7693.67411995# Server sent data 000000105
7693.72467494# Server sent data 000000106
7693.77548599# Server sent data 000000107
7693.82626295# Server sent data 000000108
7693.87761092# Server sent data 000000109
7693.92922592# Server sent data 000000110
7693.97972488# Server sent data 000000111
7694.030195# Server sent data 000000112
7694.08077407# Server sent data 000000113
7694.13192892# Server sent data 000000114
7694.18280792# Server sent data 000000115
7694.23421001# Server sent data 000000116
7694.28505492# Server sent data 000000117
7694.33607507# Server sent data 000000118
7694.38666201# Server sent data 000000119
7694.43768311# Server sent data 000000120
7694.48849201# Server sent data 000000121
7694.53983688# Server sent data 000000122
7694.59012103# Server sent data 000000123
7694.64052105# Server sent data 000000124
7694.69103193# Server sent data 000000125
7694.7414391# Server sent data 000000126
7694.79187799# Server sent data 000000127
7694.84225893# Server sent data 000000128
7694.89277101# Server sent data 000000129
7694.94309807# Server sent data 000000130
7694.99332404# Server sent data 000000131
7695.04376197# Server sent data 000000132
7695.0950861# Server sent data 000000133
7695.14566302# Server sent data 000000134
7695.19712591# Server sent data 000000135
7695.24865198# Server sent data 000000136
7695.2991581# Server sent data 000000137
7695.349823# Server sent data 000000138
7695.40046906# Server sent data 000000139
7695.45118189# Server sent data 000000140
7695.50240588# Server sent data 000000141
7695.55279994# Server sent data 000000142
7695.60393# Server sent data 000000143
7695.65496898# Server sent data 000000144
7695.70612788# Server sent data 000000145
7695.7573669# Server sent data 000000146
7695.80780602# Server sent data 000000147
7695.85910702# Server sent data 000000148
7695.90983009# Server sent data 000000149
TOTAL number of TRY: 155
