############################
SERVER SIDE STARTED
############################


Starting resend nak thread
8036.4557569# Server sent data 000000000
8036.50623012# Server sent data 000000001
8036.55671# Server sent data 000000002
8036.60808992# Server sent data 000000003
8036.65864706# Server sent data 000000004
8036.70918489# Server sent data 000000005
8036.75945902# Server sent data 000000006
8036.80995989# Server sent data 000000007
8036.86096191# Server sent data 000000008
8036.91164589# Server sent data 000000009
8036.96235991# Server sent data 000000010
8037.01320505# Server sent data 000000011
8037.06387091# Server sent data 000000012
8037.11440396# Server sent data 000000013
8037.16546893# Server sent data 000000014
8037.21694112# Server sent data 000000015
8037.26766109# Server sent data 000000016
8037.31813788# Server sent data 000000017
8037.36933589# Server sent data 000000018
8037.41981506# Server sent data 000000019
8037.4702599# Server sent data 000000020
8037.52066803# Server sent data 000000021
8037.57099509# Server sent data 000000022
8037.62127995# Server sent data 000000023
8037.67192888# Server sent data 000000024
8037.722857# Server sent data 000000025
8037.77330399# Server sent data 000000026
8037.82362103# Server sent data 000000027
8037.8741281# Server sent data 000000028
8037.924788# Server sent data 000000029
8037.9757731# Server sent data 000000030
8038.02612495# Server sent data 000000031
8038.07663393# Server sent data 000000032
8038.12705207# Server sent data 000000033
8038.17750406# Server sent data 000000034
8038.22837996# Server sent data 000000035
8038.27881193# Server sent data 000000036
8038.32919407# Server sent data 000000037
8038.37957501# Server sent data 000000038
8038.42999101# Server sent data 000000039
8038.48115897# Server sent data 000000040
8038.531739# Server sent data 000000041
8038.5821569# Server sent data 000000042
8038.63262296# Server sent data 000000043
8038.68337393# Server sent data 000000044
8038.73414207# Server sent data 000000045
8038.78450203# Server sent data 000000046
8038.83487797# Server sent data 000000047
8038.88527703# Server sent data 000000048
8038.93573904# Server sent data 000000049
8038.98691201# Server sent data 000000050
8039.03769588# Server sent data 000000051
8039.08806992# Server sent data 000000052
8039.13845491# Server sent data 000000053
8039.18884206# Server sent data 000000054
8039.23934102# Server sent data 000000055
8039.28970909# Server sent data 000000056
8039.34060192# Server sent data 000000057
8039.39105296# Server sent data 000000058
8039.44198203# Server sent data 000000059
8039.49256611# Server sent data 000000060
8039.54309201# Server sent data 000000061
8039.59358406# Server sent data 000000062
8039.64398789# Server sent data 000000063
8039.69441509# Server sent data 000000064
8039.74509907# Server sent data 000000065
8039.79568601# Server sent data 000000066
8039.84634495# Server sent data 000000067
8039.89688802# Server sent data 000000068
8039.94738507# Server sent data 000000069
8039.99848795# Server sent data 000000070
8040.04881597# Server sent data 000000071
8040.09935689# Server sent data 000000072
8040.14966512# Server sent data 000000073
8040.20002294# Server sent data 000000074
8040.25043988# Server sent data 000000075
8040.30095911# Server sent data 000000076
8040.35131097# Server sent data 000000077
8040.40258908# Server sent data 000000078
8040.45327497# Server sent data 000000079
8040.50385308# Server sent data 000000080
8040.55494595# Server sent data 000000081
8040.60544205# Server sent data 000000082
8040.65590191# Server sent data 000000083
8040.70651197# Server sent data 000000084
8040.75793695# Server sent data 000000085
8040.8084259# Server sent data 000000086
8040.85922194# Server sent data 000000087
8040.90987396# Server sent data 000000088
8040.96056604# Server sent data 000000089
8041.0114069# Server sent data 000000090
8041.06202507# Server sent data 000000091
8041.11269999# Server sent data 000000092
8041.16376495# Server sent data 000000093
8041.214046# Server sent data 000000094
8041.26489091# Server sent data 000000095
8041.31543303# Server sent data 000000096
8041.36595201# Server sent data 000000097
8041.41697693# Server sent data 000000098
8041.46739507# Server sent data 000000099
8041.51836205# Server sent data 000000100
8041.56922507# Server sent data 000000101
8041.61972904# Server sent data 000000102
8041.67042589# Server sent data 000000103
8041.72098804# Server sent data 000000104
8041.77151203# Server sent data 000000105
8041.82187104# Server sent data 000000106
8041.87230301# Server sent data 000000107
8041.92284393# Server sent data 000000108
8041.97339296# Server sent data 000000109
8042.02403212# Server sent data 000000110
8042.07468295# Server sent data 000000111
8042.12505794# Server sent data 000000112
8042.17539501# Server sent data 000000113
8042.2259531# Server sent data 000000114
8042.27666998# Server sent data 000000115
8042.32732391# Server sent data 000000116
8042.37795711# Server sent data 000000117
8042.42866492# Server sent data 000000118
8042.47936296# Server sent data 000000119
8042.53006792# Server sent data 000000120
8042.58061504# Server sent data 000000121
8042.63116097# Server sent data 000000122
8042.68155193# Server sent data 000000123
8042.73213601# Server sent data 000000124
8042.7830739# Server sent data 000000125
8042.83337498# Server sent data 000000126
8042.88389707# Server sent data 000000127
8042.9342649# Server sent data 000000128
8042.98459601# Server sent data 000000129
8043.03517604# Server sent data 000000130
8043.08557105# Server sent data 000000131
8043.13650703# Server sent data 000000132
8043.18699503# Server sent data 000000133
8043.23743391# Server sent data 000000134
8043.28789496# Server sent data 000000135
8043.33842397# Server sent data 000000136
8043.38882589# Server sent data 000000137
8043.43924093# Server sent data 000000138
8043.48964596# Server sent data 000000139
8043.54088593# Server sent data 000000140
8043.59124398# Server sent data 000000141
8043.64232898# Server sent data 000000142
8043.69281793# Server sent data 000000143
8043.74340701# Server sent data 000000144
8043.74462008# Server received NAK 143
8043.74476194# Server resent (NAK) 000000143
8043.79391503# Server sent data 000000145
8043.84422398# Server sent data 000000146
8043.89492202# Server sent data 000000147
8043.94542503# Server sent data 000000148
8043.9964509# Server sent data 000000149
8044.04705811# Server sent data 000000150
8044.09814596# Server sent data 000000151
8044.14845896# Server sent data 000000152
8044.19952297# Server sent data 000000153
8044.25078106# Server sent data 000000154
8044.30127096# Server sent data 000000155
8044.3519001# Server sent data 000000156
8044.40225697# Server sent data 000000157
8044.45288706# Server sent data 000000158
8044.50397396# Server sent data 000000159
8044.55429792# Server sent data 000000160
8044.60472393# Server sent data 000000161
8044.65555# Server sent data 000000162
8044.70603299# Server sent data 000000163
8044.75652409# Server sent data 000000164
8044.80689406# Server sent data 000000165
8044.85738897# Server sent data 000000166
8044.90776205# Server sent data 000000167
8044.95883012# Server sent data 000000168
8045.00971699# Server sent data 000000169
8045.06010699# Server sent data 000000170
8045.11076498# Server sent data 000000171
8045.16148901# Server sent data 000000172
8045.21218395# Server sent data 000000173
8045.26261091# Server sent data 000000174
8045.3133781# Server sent data 000000175
8045.36428499# Server sent data 000000176
8045.41503# Server sent data 000000177
8045.46560001# Server sent data 000000178
8045.51618099# Server sent data 000000179
8045.56661201# Server sent data 000000180
8045.61719894# Server sent data 000000181
8045.66764903# Server sent data 000000182
8045.71847796# Server sent data 000000183
8045.76917696# Server sent data 000000184
8045.81956601# Server sent data 000000185
8045.87009311# Server sent data 000000186
8045.9207499# Server sent data 000000187
8045.97127104# Server sent data 000000188
8046.02193499# Server sent data 000000189
8046.07263589# Server sent data 000000190
8046.12315392# Server sent data 000000191
8046.17347503# Server sent data 000000192
8046.2239089# Server sent data 000000193
8046.27430511# Server sent data 000000194
8046.3249011# Server sent data 000000195
8046.3753221# Server sent data 000000196
8046.42576909# Server sent data 000000197
8046.47613001# Server sent data 000000198
8046.52648592# Server sent data 000000199
8046.57720399# Server sent data 000000200
8046.62774611# Server sent data 000000201
8046.67835689# Server sent data 000000202
8046.72944593# Server sent data 000000203
8046.77991199# Server sent data 000000204
8046.83112907# Server sent data 000000205
8046.88215089# Server sent data 000000206
8046.9325099# Server sent data 000000207
8046.9829421# Server sent data 000000208
8047.03356004# Server sent data 000000209
8047.08428192# Server sent data 000000210
8047.13484311# Server sent data 000000211
8047.18515992# Server sent data 000000212
8047.23568296# Server sent data 000000213
8047.28633094# Server sent data 000000214
8047.33672309# Server sent data 000000215
8047.38766909# Server sent data 000000216
8047.38901401# Server received NAK 215
8047.38916302# Server resent (NAK) 000000215
8047.43820691# Server sent data 000000217
8047.4885149# Server sent data 000000218
8047.53931093# Server sent data 000000219
8047.58987498# Server sent data 000000220
8047.64046001# Server sent data 000000221
8047.69142008# Server sent data 000000222
8047.74186206# Server sent data 000000223
8047.79228997# Server sent data 000000224
8047.84268999# Server sent data 000000225
8047.893538# Server sent data 000000226
8047.9444921# Server sent data 000000227
8047.99489689# Server sent data 000000228
8048.04541397# Server sent data 000000229
8048.09643102# Server sent data 000000230
8048.14715004# Server sent data 000000231
8048.19798708# Server sent data 000000232
8048.24857211# Server sent data 000000233
8048.29921889# Server sent data 000000234
8048.35051703# Server sent data 000000235
8048.40098# Server sent data 000000236
8048.451689# Server sent data 000000237
8048.50215507# Server sent data 000000238
8048.55264401# Server sent data 000000239
8048.60304999# Server sent data 000000240
8048.65346503# Server sent data 000000241
8048.70387411# Server sent data 000000242
8048.75433898# Server sent data 000000243
8048.8048141# Server sent data 000000244
8048.8555429# Server sent data 000000245
8048.90590596# Server sent data 000000246
8048.95628309# Server sent data 000000247
8049.00760794# Server sent data 000000248
8049.05842209# Server sent data 000000249
8049.10872412# Server sent data 000000250
8049.15918708# Server sent data 000000251
8049.20958591# Server sent data 000000252
8049.26069689# Server sent data 000000253
8049.31123996# Server sent data 000000254
8049.36248589# Server sent data 000000255
8049.41302204# Server sent data 000000256
8049.46419501# Server sent data 000000257
8049.51459193# Server sent data 000000258
8049.565099# Server sent data 000000259
8049.61572599# Server sent data 000000260
8049.66603899# Server sent data 000000261
8049.66711998# Server received NAK 260
8049.66722012# Server resent (NAK) 000000260
8049.71684289# Server sent data 000000262
8049.76729488# Server sent data 000000263
8049.81848502# Server sent data 000000264
8049.86933899# Server sent data 000000265
8049.91991305# Server sent data 000000266
8049.97039104# Server sent data 000000267
8050.020854# Server sent data 000000268
8050.07124996# Server sent data 000000269
8050.12173796# Server sent data 000000270
8050.17244601# Server sent data 000000271
8050.22305608# Server sent data 000000272
8050.27340889# Server sent data 000000273
8050.32382989# Server sent data 000000274
8050.37418103# Server sent data 000000275
8050.42492104# Server sent data 000000276
8050.47643089# Server sent data 000000277
8050.52715492# Server sent data 000000278
8050.5782311# Server sent data 000000279
8050.62910104# Server sent data 000000280
8050.679497# Server sent data 000000281
8050.72986293# Server sent data 000000282
