############################
SERVER SIDE STARTED
############################


Starting resend nak thread
7771.54197097# Server sent data 000000000
7771.59254098# Server sent data 000000001
7771.64298892# Server sent data 000000002
7771.69356704# Server sent data 000000003
7771.74400496# Server sent data 000000004
7771.79447794# Server sent data 000000005
7771.84489012# Server sent data 000000006
7771.89568806# Server sent data 000000007
7771.94612288# Server sent data 000000008
7771.99693394# Server sent data 000000009
7772.0474# Server sent data 000000010
7772.097821# Server sent data 000000011
7772.14847898# Server sent data 000000012
7772.19997501# Server sent data 000000013
7772.25044394# Server sent data 000000014
7772.30084205# Server sent data 000000015
7772.35126805# Server sent data 000000016
7772.40201998# Server sent data 000000017
7772.45244503# Server sent data 000000018
7772.50301695# Server sent data 000000019
7772.55342388# Server sent data 000000020
7772.604491# Server sent data 000000021
7772.65540504# Server sent data 000000022
7772.706563# Server sent data 000000023
7772.75759411# Server sent data 000000024
7772.8080411# Server sent data 000000025
7772.85860109# Server sent data 000000026
7772.90936303# Server sent data 000000027
7772.96038294# Server sent data 000000028
7773.01083207# Server sent data 000000029
7773.06130004# Server sent data 000000030
7773.1117599# Server sent data 000000031
7773.16251493# Server sent data 000000032
7773.21317601# Server sent data 000000033
7773.26358509# Server sent data 000000034
7773.31452107# Server sent data 000000035
7773.36488509# Server sent data 000000036
7773.41631198# Server sent data 000000037
7773.46707106# Server sent data 000000038
7773.51750398# Server sent data 000000039
7773.56817889# Server sent data 000000040
7773.61855793# Server sent data 000000041
7773.66965389# Server sent data 000000042
7773.72090507# Server sent data 000000043
7773.77129793# Server sent data 000000044
7773.82183504# Server sent data 000000045
7773.87315893# Server sent data 000000046
7773.92371106# Server sent data 000000047
7773.97403193# Server sent data 000000048
7774.02523398# Server sent data 000000049
7774.0761199# Server sent data 000000050
7774.12669897# Server sent data 000000051
7774.17754889# Server sent data 000000052
7774.22822404# Server sent data 000000053
7774.27950001# Server sent data 000000054
7774.32992101# Server sent data 000000055
7774.38019896# Server sent data 000000056
7774.430866# Server sent data 000000057
7774.48135304# Server sent data 000000058
7774.53214598# Server sent data 000000059
7774.58282399# Server sent data 000000060
7774.63331509# Server sent data 000000061
7774.68393898# Server sent data 000000062
7774.73446202# Server sent data 000000063
7774.78538799# Server sent data 000000064
7774.83597207# Server sent data 000000065
7774.88629889# Server sent data 000000066
7774.93671107# Server sent data 000000067
7774.98736501# Server sent data 000000068
7775.03775501# Server sent data 000000069
7775.08812404# Server sent data 000000070
7775.13957# Server sent data 000000071
7775.18998003# Server sent data 000000072
7775.24026799# Server sent data 000000073
7775.29075098# Server sent data 000000074
7775.34114289# Server sent data 000000075
7775.39156508# Server sent data 000000076
7775.44197798# Server sent data 000000077
7775.492414# Server sent data 000000078
7775.54283404# Server sent data 000000079
7775.59346294# Server sent data 000000080
7775.64388609# Server sent data 000000081
7775.69424891# Server sent data 000000082
7775.74458694# Server sent data 000000083
7775.794976# Server sent data 000000084
7775.84533405# Server sent data 000000085
7775.89682293# Server sent data 000000086
7775.94825006# Server sent data 000000087
7776.00015807# Server sent data 000000088
7776.05075192# Server sent data 000000089
7776.10158491# Server sent data 000000090
7776.15214396# Server sent data 000000091
7776.20278192# Server sent data 000000092
7776.25359297# Server sent data 000000093
7776.30427694# Server sent data 000000094
7776.35550308# Server sent data 000000095
7776.4063251# Server sent data 000000096
7776.45671201# Server sent data 000000097
7776.50708389# Server sent data 000000098
7776.55755091# Server sent data 000000099
7776.60830903# Server sent data 000000100
7776.609828# Server received NAK 99
7776.61014104# Server resent (NAK) 000000099
7776.65882611# Server sent data 000000101
7776.709481# Server sent data 000000102
7776.76092792# Server sent data 000000103
7776.81189299# Server sent data 000000104
7776.86218405# Server sent data 000000105
7776.91287589# Server sent data 000000106
7776.9633019# Server sent data 000000107
7777.01434898# Server sent data 000000108
7777.06484199# Server sent data 000000109
7777.11512089# Server sent data 000000110
7777.16565108# Server sent data 000000111
7777.21618104# Server sent data 000000112
7777.26702905# Server sent data 000000113
7777.26835608# Server received NAK 112
7777.26847601# Server resent (NAK) 000000112
7777.31757689# Server sent data 000000114
7777.367939# Server sent data 000000115
7777.41831207# Server sent data 000000116
7777.46878695# Server sent data 000000117
7777.51933408# Server sent data 000000118
7777.56984806# Server sent data 000000119
7777.62042689# Server sent data 000000120
7777.67067599# Server sent data 000000121
7777.7212131# Server sent data 000000122
7777.72260308# Server received NAK 121
7777.72274995# Server resent (NAK) 000000121
7777.77163196# Server sent data 000000123
